source_index,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12
0,0.5658986568450928,-0.2853934168815613,0.3362102508544922,0.18671105802059174,-0.022387946024537086,0.1394207924604416,-0.05820489302277565,-0.000840349995996803,-0.093233622610569,0.04354460537433624,-0.06099782511591911,0.28358739614486694
1,0.5920697450637817,0.7152129411697388,0.6611770391464233,-1.5852476358413696,1.346618413925171,0.048505719751119614,1.2699726819992065,-0.045214008539915085,-0.511833131313324,0.5586563348770142,1.0091410875320435,-0.7400630116462708
2,1.0304678678512573,-0.0004389835230540484,-0.34961777925491333,0.6796318292617798,0.2975428104400635,0.10484305769205093,0.0666976124048233,0.4616178572177887,-0.09943199157714844,-0.17782361805438995,-0.07145491987466812,0.13844998180866241
3,0.061868418008089066,0.010013033635914326,0.03899485245347023,-0.016132744029164314,0.36489003896713257,0.667388379573822,-0.10410260409116745,0.13231296837329865,-0.15734641253948212,0.19539479911327362,-0.19741711020469666,0.06772623211145401
4,-0.5708486437797546,2.083909034729004,0.3111141324043274,1.7299970388412476,-0.9070006608963013,-0.41959866881370544,0.07946682721376419,-0.36096519231796265,-0.4740433096885681,0.10638561844825745,0.9539578557014465,-0.3076002895832062
5,-1.346765160560608,-0.013227138668298721,-0.047927867621183395,-0.004919242579489946,-0.1256880760192871,0.0004132281756028533,0.005965405143797398,-0.11372869461774826,-0.017975907772779465,-0.01659051887691021,0.038420964032411575,0.005547820124775171
6,0.09826698899269104,-0.4099620282649994,-0.8587258458137512,0.6965170502662659,-0.4927750527858734,-0.32509851455688477,-0.3662188947200775,0.6905542016029358,0.12480242550373077,0.8344934582710266,-0.40649735927581787,0.01062041986733675
7,-0.22337360680103302,3.7461166381835938,0.5611765384674072,-1.2981468439102173,1.2032513618469238,0.08352258801460266,-1.438788652420044,0.580636203289032,0.46669358015060425,0.08617193251848221,0.26290085911750793,0.20862442255020142
8,1.7636806964874268,-0.3250320255756378,-0.4621850848197937,0.2507486641407013,-0.06849075108766556,-0.19167588651180267,-0.07302270829677582,-0.04201597720384598,-0.1684555560350418,-0.022801147773861885,-0.29334908723831177,-0.2785417437553406
9,0.4652327001094818,-0.19367481768131256,-0.08198829740285873,0.553589403629303,0.040004365146160126,0.10943898558616638,0.1014556959271431,0.17791998386383057,0.06350111961364746,0.01001522783190012,0.18725399672985077,-0.16829611361026764
10,-0.203557088971138,-1.2265610694885254,-1.6860358715057373,-0.7961832284927368,0.002348707988858223,-0.24712702631950378,-3.801767587661743,0.12114719301462173,-0.5914595127105713,-0.2987098693847656,0.5133407711982727,-0.6148244142532349
11,-1.322055459022522,-0.01782708615064621,0.36183199286460876,-0.009452763944864273,0.9065691828727722,0.9334504008293152,0.017890334129333496,0.8888501524925232,-0.005194236524403095,0.1694890409708023,0.33899348974227905,0.06377805024385452
12,0.2131703794002533,-0.006974120624363422,-1.4997714757919312,0.32277950644493103,-0.3598932921886444,-0.4059346616268158,-0.14754337072372437,-0.10269532352685928,-0.8966262936592102,-0.36653611063957214,-0.1914551705121994,-0.15985387563705444
13,2.319328546524048,-0.46148034930229187,2.128023624420166,0.847304105758667,1.4357599020004272,0.39374908804893494,-0.006128385663032532,-0.49487993121147156,-0.21556758880615234,0.5705025792121887,-0.6102592945098877,-0.6833078861236572
14,0.32012495398521423,-1.3579517602920532,-0.30932384729385376,0.6951243877410889,-0.2094791978597641,-0.5779697299003601,-1.0076895952224731,0.23590978980064392,-1.3937904834747314,0.17198015749454498,0.19142866134643555,-0.20236675441265106
15,-0.784275472164154,0.0018248137785121799,-1.357977271080017,0.0044062756933271885,-0.3541714549064636,-0.48847711086273193,0.04745814949274063,-0.4350343644618988,-0.01657392829656601,0.8793640732765198,1.0169557332992554,-0.3036433160305023
16,-1.0638097524642944,-0.04259423166513443,-0.09850461035966873,-0.037372786551713943,-0.146341010928154,0.2186383157968521,0.7091190218925476,0.2742566764354706,-0.009701330214738846,-0.23562738299369812,-0.020613715052604675,-0.23974551260471344
